4 Jan 1999 - 27 July 2018,EUR/USD,GBP/USD,AUD/USD,USD/CAD,USD/CHF,SP500,DGS10
8/5/99,1.0793,1.6198,0.6545,1.4947,1.4805,1313.709961,5.88
8/6/99,1.077,1.6147,0.6531,1.5035,1.4863,1300.290039,6.02
8/9/99,1.0694,1.6,0.65,1.5026,1.4972,1297.800049,6.13
8/10/99,1.0752,1.618,0.6512,1.5,1.4895,1281.430054,6.16
8/11/99,1.066,1.6107,0.6485,1.4908,1.5024,1301.930054,6.05
8/12/99,1.0636,1.609,0.6495,1.4853,1.506,1298.160034,6.08
8/13/99,1.0568,1.6057,0.6517,1.478,1.5157,1327.680054,5.98
8/16/99,1.0557,1.6011,0.6497,1.4815,1.5173,1330.77002,5.98
8/17/99,1.0525,1.6036,0.6485,1.4794,1.5215,1344.160034,5.89
8/18/99,1.0505,1.6004,0.6468,1.4832,1.523,1332.839966,5.88
8/19/99,1.0643,1.618,0.6365,1.494,1.5025,1323.589966,5.9
8/20/99,1.0654,1.6133,0.6393,1.4942,1.4988,1336.609985,5.88
8/23/99,1.0553,1.6076,0.6359,1.4955,1.5145,1360.219971,5.89
8/24/99,1.0506,1.5946,0.637,1.4955,1.5242,1363.5,5.85
8/25/99,1.0461,1.5865,0.6334,1.496,1.5315,1381.790039,5.73
8/26/99,1.0441,1.5876,0.63,1.5026,1.5339,1362.01001,5.75
8/27/99,1.046,1.5885,0.632,1.492,1.5303,1348.27002,5.85
8/30/99,1.0445,1.5875,0.6326,1.4925,1.5332,1324.02002,5.95
8/31/99,1.0581,1.6086,0.638,1.4965,1.513,1320.410034,5.98
9/1/99,1.0582,1.6023,0.639,1.4858,1.5135,1331.069946,5.99
9/2/99,1.0689,1.6091,0.6447,1.495,1.4938,1319.109985,6.03
9/3/99,1.0605,1.6028,0.6467,1.4909,1.5073,1357.23999,5.89
9/7/99,1.0581,1.6057,0.6465,1.4937,1.5108,1350.449951,5.95
9/8/99,1.059,1.6185,0.6486,1.487,1.5103,1344.150024,5.93
9/9/99,1.0543,1.6332,0.652,1.48,1.5172,1347.660034,5.97
9/10/99,1.0402,1.6183,0.652,1.4747,1.544,1351.660034,5.89
9/13/99,1.04,1.609,0.6573,1.4703,1.5425,1344.130005,5.92
9/14/99,1.0408,1.6085,0.6545,1.4745,1.5408,1336.290039,5.96
9/15/99,1.0385,1.611,0.6487,1.4754,1.5455,1317.969971,5.94
9/16/99,1.0418,1.625,0.6462,1.478,1.5384,1318.47998,5.9
9/17/99,1.0399,1.6222,0.6481,1.4742,1.5441,1335.420044,5.87
9/20/99,1.0408,1.623,0.6414,1.4785,1.5435,1335.530029,5.91
9/21/99,1.046,1.631,0.647,1.4725,1.5328,1307.579956,5.94
9/22/99,1.05,1.6363,0.6513,1.4685,1.5267,1310.51001,5.92
9/23/99,1.0415,1.6375,0.6482,1.4754,1.5393,1280.410034,5.87
9/24/99,1.0466,1.6428,0.6525,1.4739,1.53,1277.359985,5.75
9/27/99,1.0431,1.6455,0.6525,1.4713,1.5361,1283.310059,5.83
9/28/99,1.0509,1.6485,0.6555,1.4645,1.524,1282.199951,5.89
9/29/99,1.0613,1.6425,0.653,1.4645,1.5075,1268.369995,5.97
9/30/99,1.0643,1.6457,0.6528,1.4695,1.5022,1282.709961,5.9
10/1/99,1.0718,1.655,0.654,1.4725,1.4867,1282.810059,6
10/4/99,1.0703,1.6555,0.6607,1.4705,1.4878,1304.599976,5.95
10/5/99,1.0693,1.6525,0.6633,1.4695,1.4894,1301.349976,6.02
10/6/99,1.0704,1.656,0.6605,1.4695,1.4875,1325.400024,6.04
10/7/99,1.0721,1.652,0.6602,1.4725,1.486,1317.640015,6.05
10/8/99,1.063,1.652,0.654,1.4739,1.5,1336.02002,6.04
10/12/99,1.0737,1.6535,0.6555,1.4748,1.4832,1313.040039,6.07
10/13/99,1.0758,1.6532,0.649,1.4815,1.479,1285.550049,6.12
10/14/99,1.0799,1.6575,0.65,1.4822,1.4735,1283.420044,6.17
10/15/99,1.0887,1.6684,0.6475,1.4853,1.4592,1247.410034,6.09
10/18/99,1.0863,1.672,0.644,1.4952,1.462,1254.130005,6.12
10/19/99,1.0833,1.6708,0.6486,1.491,1.4681,1261.319946,6.18
10/20/99,1.0765,1.6643,0.6463,1.4905,1.479,1289.430054,6.19
10/21/99,1.0808,1.6765,0.647,1.486,1.473,1283.609985,6.2
10/22/99,1.0678,1.6584,0.6503,1.4759,1.4975,1301.650024,6.21
10/25/99,1.0666,1.6631,0.6508,1.4748,1.4992,1293.630005,6.22
10/26/99,1.0578,1.6525,0.6503,1.4715,1.5135,1281.910034,6.24
10/27/99,1.0532,1.6477,0.6436,1.4709,1.52,1296.709961,6.19
10/28/99,1.0519,1.64,0.6457,1.4722,1.5238,1342.439941,6.12
10/29/99,1.0518,1.6425,0.6376,1.472,1.5243,1362.930054,6.02
11/1/99,1.0494,1.6404,0.6382,1.4684,1.5291,1354.119995,6.06
11/2/99,1.0506,1.6445,0.6405,1.469,1.5305,1347.73999,6.04
11/3/99,1.0485,1.644,0.6437,1.4688,1.5344,1354.930054,6.01
11/4/99,1.044,1.6375,0.6383,1.465,1.5436,1362.640015,5.95
11/5/99,1.04,1.6205,0.6385,1.463,1.5513,1370.22998,5.92
11/8/99,1.0363,1.615,0.6365,1.4683,1.5535,1377.01001,5.95
11/9/99,1.0401,1.621,0.6375,1.4735,1.5465,1365.280029,5.97
11/10/99,1.0436,1.625,0.6402,1.4708,1.5398,1373.459961,6
11/12/99,1.0315,1.6131,0.6431,1.462,1.5575,1396.060059,5.93
11/15/99,1.0315,1.623,0.6467,1.465,1.556,1394.390015,5.94
11/16/99,1.0312,1.6164,0.6417,1.4698,1.5542,1420.069946,5.97
11/17/99,1.0403,1.6231,0.6394,1.4675,1.5411,1410.709961,6.04
11/18/99,1.0297,1.615,0.6395,1.4635,1.5564,1424.939941,6.06
11/19/99,1.0313,1.616,0.639,1.4628,1.5543,1422,6.07
11/22/99,1.0327,1.6205,0.6376,1.462,1.551,1420.939941,6.09
11/23/99,1.0261,1.6236,0.6356,1.465,1.559,1404.640015,6.08
11/24/99,1.0176,1.609,0.6323,1.4685,1.5721,1417.079956,6.09
11/26/99,1.0137,1.6062,0.6345,1.4685,1.5795,1416.619995,6.12
