Mkt-RF,SMB,HML,SMALL LoBM-RF,ME1 BM2-RF,SMALL HiBM-RF,BIG LoBM-RF,ME2 BM2-RF,BIG HiBM-RF,RF
-0.1,-1.86,2.75,-2.9494,-1.7191,0.2335,-0.7128,0.2382,1.6111,0.09
-5.09,-0.32,0.07,-5.0417,-5.279,-5.5546,-5.0909,-5.39,-4.4326,0.08
0.25,-1.1,0.27,-1.2662,-0.6061,-0.4362,0.787,-0.3012,0.5007,0.09
-2.97,-1.23,-1.79,-2.9656,-4.2017,-5.5434,-2.7672,-2.4849,-3.766,0.04
5.96,-1.5,0.56,4.0523,4.5369,5.3378,6.3918,5.808,6.2324,0.04
-9.3,-0.62,-4.14,-9.7416,-9.7255,-12.9806,-8.3839,-8.7715,-13.4262,0.04
3.26,-2.8,-1.94,1.3744,-0.042,0.1289,4.8912,2.7212,2.2547,0.04
0.23,1.81,1.17,1.3055,1.7478,2.8763,0.4644,-1.1823,1.2304,0.1
-2.93,-1.89,-0.91,-5.4314,-4.0555,-5.6991,-2.5692,-2.8156,-4.1274,0.09
4.04,2.48,1.34,6.2287,5.5055,8.0847,4.1292,3.3034,4.9451,0.1
-1.87,-0.89,-1.18,-1.6505,-3.1723,-3.463,-2.166,-0.7501,-2.7069,0.09
-2.94,-0.77,-2.42,-3.8284,-3.8213,-5.2127,-1.9599,-3.1887,-5.4144,0.1
0.1,-0.88,-1.76,-1.2659,-1.5535,-1.227,1.0072,0.1508,-2.5522,0.1
5.54,0.57,0.38,6.439,7.1203,5.6549,5.1594,5.6578,6.7015,0.09
